ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
c50c084da461c99faf0b12268b14ab977f3460c8925e7dae2ed682ba585ee825,https://www.snap.com/political-ads/asset/04b5f69818c36d06cf06b25099108cd78aeeaf2fd5437dbbc1b07668bd55f90c?mediaType=mp4,USD,682,357919,2020/01/01 15:03:02Z,2020/02/01 07:59:59Z,Ciceron Inc,"126 N. 3rd Street,Minneapolis,55401,US",,Be the Match,,18-39,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.ourraceagainsttime.org/story-bella/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=ourtime&utm_content=national_prospecting_bella_lookalike_mixed
0a4246bd73524b60ec6cf0a427c6754923acb5d71c02e00440f718ebf9e6f627,https://www.snap.com/political-ads/asset/fa5e71ed3b60c5e03ba4d7901b308ed0a60c2813aac0ad9d8724d0250bdbe007?mediaType=png,USD,152,39567,2019/09/12 17:41:08Z,2020/01/15 04:59:59Z,FP1 Strategies,"3001 Washington Blvd,Arlington,22201,US",,P4AHCF,,21+,united states,,,,,"latitude 38.895;longitude -77.0366;radius 20.0,latitude 39.952288;longitude -75.166277;radius 1.0,latitude 40.743025;longitude -74.169139;radius 1.0,latitude 46.590645;longitude -112.03888;radius 1.0,latitude 41.675165;longitude -86.234911;radius 1.0,latitude 39.121345;longitude -77.23811;radius 1.0,latitude 42.732249;longitude -73.689799;radius 1.0,latitude 41.011531;longitude -73.842077;radius 1.0,latitude 33.968825;longitude -118.417454;radius 2.0",,,,,,,,,,Provided by Advertiser,en,,,,
11a6bd253785b68b6b04c4df544460dd659222382b0b125f9e0839cb9152109b,https://www.snap.com/political-ads/asset/56490624b528d3aafd4960365d4a777049b3765b135399937b0eb669696c3e6a?mediaType=mp4,EUR,24,9883,2020/01/23 11:09:09Z,2020/02/02 22:59:59Z,Idium 1881 AS,"Rolf Wickstrøms vei 15,Oslo,0484,NO",,Fellesforbundet,,18+,norway,,,,,,,"Oslo,Bergen,Trondheim,Namsos,Namdalseid,Fosnes,Vikna,Larvik,Ullensaker,Lardal,Overhalla,Asker,Hurum,Royken,Sandefjord,Andebu,Stokke,Steinkjer,Verran,Tonsberg,Re,Bindal,Klaebu,Baerum,Skedsmo,Fet,Sorum,Grong,Rodoy,Lindas,Meland,Hjelmeland,Hoylandet,Askim,Eidsberg,Hobol,Spydeberg,Trogstad,Vestby,Eidsvoll,Tjome,Notteroy,Fusa,Os (hedmark),Os (hordaland),Roros,Selbu,Haram,Sandoy,Skodje,Orskog,Alesund,Sykkylven,Rakkestad,Frogn,Lorenskog,Nannestad,Hurdal,Kristiansand (vest-agder),Songdalen,Sogne,Flora,Vagsoy,Samnanger,Oygarden,Fjell,Sund,Askoy,Stryn,Midtre Gauldal,Meraker,Stjordal,Afjord,Snasa,Lierne,Namsskogan,Flatanger,Leka,Inderoy,Tromso,Masoy",,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.fellesforbundet.no/blimed2020/#/?utm_source=snapchat&utm_medium=cpc&utm_campaign=2020-Q1_tariff2020&utm_term=bilde2&utm_content=story
f867f331edb433274ac34b9d9b2ccf5fc5cb7601a4b7d28834508a3afede25c3,https://www.snap.com/political-ads/asset/6dc71413a31b9e9dd46be11d3c02a8abe51175b926d999f40b412f23a5937175?mediaType=mp4,EUR,3,1914,2020/01/23 11:09:09Z,2020/02/02 22:59:59Z,Idium 1881 AS,"Rolf Wickstrøms vei 15,Oslo,0484,NO",,Fellesforbundet,,18+,norway,,,,,,,"Oslo,Bergen,Trondheim,Namsos,Namdalseid,Fosnes,Vikna,Larvik,Ullensaker,Lardal,Overhalla,Asker,Hurum,Royken,Sandefjord,Andebu,Stokke,Steinkjer,Verran,Tonsberg,Re,Bindal,Klaebu,Baerum,Skedsmo,Fet,Sorum,Grong,Rodoy,Lindas,Meland,Hjelmeland,Hoylandet,Askim,Eidsberg,Hobol,Spydeberg,Trogstad,Vestby,Eidsvoll,Tjome,Notteroy,Fusa,Os (hedmark),Os (hordaland),Roros,Selbu,Haram,Sandoy,Skodje,Orskog,Alesund,Sykkylven,Rakkestad,Frogn,Lorenskog,Nannestad,Hurdal,Kristiansand (vest-agder),Songdalen,Sogne,Flora,Vagsoy,Samnanger,Oygarden,Fjell,Sund,Askoy,Stryn,Midtre Gauldal,Meraker,Stjordal,Afjord,Snasa,Lierne,Namsskogan,Flatanger,Leka,Inderoy,Tromso,Masoy",,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.fellesforbundet.no/blimed2020/#/?utm_source=snapchat&utm_medium=cpc&utm_campaign=2020-Q1_tariff2020&utm_term=bilde3&utm_content=story
bea4fe7a9340f98f61b8637ba092f4e23e550694f03fc2c23eafb67b160d8051,https://www.snap.com/political-ads/asset/d704583eeaa12e4e1d38cfdbe9078b47354003e3bccbd56ddc3db37faad0ee63?mediaType=mp4,EUR,0,866,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Carlow,Kilkenny,Tipperary,Waterford,Wexford",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
490645ff4c7788722b5fad1d0684cbbeeab852f78e71a17f8d94649dc4958200,https://www.snap.com/political-ads/asset/2a546e20871e0ac94748e55942773f57d294c83ecceb03a09f9fb50b26b404b8?mediaType=mp4,USD,81,47023,2020/01/03 16:24:16Z,2020/02/12 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,17+,united states,New Hampshire,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://www.seacoastonline.com/news/20200103/pete-buttigiegs-plea-for-unity-strikes-chord
a4883811312445c4e6ecf3adb9ce256dce53dd30f1f6025997145e5e50ab6296,https://www.snap.com/political-ads/asset/87368df690d0b31c884f0f02d5a4dcc6a7d88f1999f4cad04709388d62db8ff0?mediaType=jpg,USD,2,1760,2020/01/22 02:34:27Z,,"D-Squared Commerce, LLC",US,PrezzyFlipFlops,"D-Squared Commerce, LLC",,18-35,united states,,,,,,,,,,,,,Collegiates,,Provided by Advertiser,,,,,web_view_url:https://prezzyflipflops.com/
51a104a6bcadb3ec792bdd86318ebc912998f2624c231c714f90f59a4ca7279e,https://www.snap.com/political-ads/asset/f9f6309e713adbe9a92f38ffb0c7c86f460a7288df49ebd9139d0e15df0239e3?mediaType=mp4,USD,2089,784901,2020/01/03 16:24:16Z,2020/02/04 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,18+,united states,Iowa,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://peteforamerica.com/issues?utm_source=Snapchat&utm_medium=Video&utm_campaign=InMyHeart_30s
66f2d003ca7e719f482897cb7d2a7b4b90c3e9f26ac8b013c645362fe2e2bade,https://www.snap.com/political-ads/asset/3767131e5b3554e55f13d80e6f0bc5c33585452917e66aad3888c5dc8186a8a6?mediaType=jpeg,USD,129,294501,2020/01/14 17:50:05Z,,Marud Khan,US,,Albbiom Marketing LLC,,,united states,,Alaska,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v6/
98cfd402c199e90032c58e02683ad9a344985bb7ce3d91a4993f68d54baa80de,https://www.snap.com/political-ads/asset/b73c55bfeb6b05092752be155ef6769839620e73379682971abaec9dddd69b13?mediaType=mp4,USD,164,96409,2020/01/03 16:24:16Z,2020/02/12 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,17+,united states,New Hampshire,,,,,,,,,,,,,,,,,,,web_view_url:https://peteforamerica.com/issues/?utm_source=snapchat&utm_medium=video&utm_campaign=belonging&utm_content=68s
1fc3d7d76864184ccd93240cd2eb02e154d7deef7f94d0c19d34f717f18a514a,https://www.snap.com/political-ads/asset/ceda1ba0fdec3fd994d2e8ea057596992f912ad9c8f5b1c992335e13954a4045?mediaType=mp4,USD,235,120022,2020/01/03 16:24:16Z,2020/02/04 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,18+,united states,Iowa,,,,,,,,,,,,,,,,,,,web_view_url:https://peteforamerica.com/health-care?utm_source=snapchat&utm_medium=video&utm_campaign=m4awwi&utm_content=countable_15s
48d2554fac7eb010838d0d5e9b47555981c4af43056a71e6725c20b014433b8e,https://www.snap.com/political-ads/asset/2c4df423f58d2d29eb50b83e06793c1ffcae4e114f26fe786a4fa38815f27d48?mediaType=mp4,EUR,1,2345,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Carlow,Kilkenny,Tipperary,Waterford,Wexford",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
d3e42d87694fc3b6789045641ba0636eb7b94e5026d590797894d1197ecaf40e,https://www.snap.com/political-ads/asset/04b5f69818c36d06cf06b25099108cd78aeeaf2fd5437dbbc1b07668bd55f90c?mediaType=mp4,USD,1512,432693,2020/01/01 15:03:02Z,2020/02/01 07:59:59Z,Ciceron Inc,"126 N. 3rd Street,Minneapolis,55401,US",,Be the Match,,18-39,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.ourraceagainsttime.org/story-bella/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=ourtime&utm_content=national_prospecting_bella_lookalike_his
cd13c641380a7489366d936059f2fb1ed5ba49cca6f6470b4e4cfc91e07108b1,https://www.snap.com/political-ads/asset/0f806a65173a1a54c51296adae58d192ddce434df3ea3e79ec75fbdd011df204?mediaType=mp4,USD,9096,935370,2020/01/08 22:07:18Z,2020/04/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,18-24,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://pages.thetruth.com/ditch-juul-snap-comm?cid=social_asm_snapchat_ditchjuul_leadgen_snapcom_animated_1824
2ffae8e1e5fdaa5d1ee22ceb2ed3e270e954fc6993f09d25b3c403059cfbe3db,https://www.snap.com/political-ads/asset/3b7dd66009f05badaa4c729bd7f7e65c1db5fa0874f6e27773aeb2120d4ebdfa?mediaType=mp4,USD,102,103517,2020/01/01 15:03:02Z,2020/02/01 07:59:59Z,Ciceron Inc,"126 N. 3rd Street,Minneapolis,55401,US",,Be the Match,,18-39,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.ourraceagainsttime.org/story-alastair/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=ourtime&utm_content=national_prospecting_alastair_rsn8
